,count,nonzero,mean,std,skew,min,1pct,25pct,50pct,75pct,99pct,max
is_churn,9307.0,0.13656387665198239,0.13656387665198239,0.3434047976013394,2.1171180029820356,0.0,0.0,0.0,0.0,0.0,1.0,1.0
like_per_month,9307.0,0.9828086386590739,69.74266680992801,148.22660649741132,9.430774013835276,0.0,0.0,11.0,27.0,70.0,618.9400000000005,4057.0
newfriend_per_month,9307.0,0.8438809498227141,4.830557644783497,6.286208585138388,3.6740389452292472,0.0,0.0,1.0,3.0,6.0,30.0,100.0
post_per_month,9307.0,0.9677661974857634,29.902439024390244,57.49848147821916,8.456573036034948,0.0,0.0,6.0,14.0,32.0,256.880000000001,1395.0
adview_per_month,9307.0,0.9641130332008165,30.388524766304933,60.387084262069656,12.755621605810404,0.0,0.0,6.0,15.0,34.0,231.0,1998.0
dislike_per_month,9307.0,0.9260771462340174,11.356290963790695,17.055435270042175,6.304839309887628,0.0,0.0,3.0,6.0,14.0,77.0,406.0
unfriend_per_month,9307.0,0.21908241108842808,0.24594391318362524,0.49302401810979485,1.9762744066830713,0.0,0.0,0.0,0.0,0.0,2.0,4.0
message_per_month,9307.0,0.9539056624046417,40.780272912861285,94.14380633381799,7.8324615537017195,0.0,0.0,5.0,13.0,38.0,444.70000000000255,2266.0
reply_per_month,9307.0,0.8235736542387451,15.460083807886537,34.93014723735778,6.991934982146835,0.0,0.0,1.0,4.0,15.0,165.88000000000102,852.0
account_tenure,9307.0,1.0,28.4138820242828,18.960798991411192,2.386889442892767,16.0,16.0,19.0,21.0,24.0,109.0,114.0
